Date,Product,Units Sold,Price,Revenue
7/2/2026,Product_D,19,37.65,715.35
13/1/2026,Product_A,4,91.87,367.48
14/3/2026,Product_C,14,171.07,2394.98
10/1/2026,Product_C,1,38.88,38.88
17/3/2026,Product_B,15,101.99,1529.85
6/1/2026,Product_D,11,98.2,1080.2
21/3/2026,Product_C,8,95.91,767.28
6/3/2026,Product_C,12,182.04,2184.48
17/1/2026,Product_C,10,170.21,1702.1
2/1/2026,Product_D,4,41.98,167.92
18/3/2026,Product_B,8,108.76,870.08
13/3/2026,Product_B,9,139.36,1254.24
7/1/2026,Product_D,3,185.52,556.56
26/1/2026,Product_B,3,180.1,540.3
20/2/2026,Product_B,8,87.14,697.12
21/1/2026,Product_A,15,65.65,984.75
19/1/2026,Product_B,14,116,1624
26/3/2026,Product_B,2,73.46,146.92
12/1/2026,Product_A,19,153.61,2918.59
29/1/2026,Product_A,18,133.64,2405.52
30/1/2026,Product_C,12,46.5,558
15/1/2026,Product_B,13,68.34,888.42
20/2/2026,Product_D,13,110.02,1430.26
10/3/2026,Product_B,3,163.69,491.07
29/3/2026,Product_A,4,22.27,89.08
29/3/2026,Product_A,11,20.7,227.7
28/3/2026,Product_B,13,20.02,260.26
14/1/2026,Product_C,1,75.48,75.48
10/1/2026,Product_C,7,52.78,369.46
8/1/2026,Product_C,19,53.14,1009.66
5/3/2026,Product_A,2,93.31,186.62
3/3/2026,Product_C,10,143.54,1435.4
23/1/2026,Product_C,12,94.45,1133.4
27/2/2026,Product_A,2,24.3,48.6
2/1/2026,Product_A,10,29.21,292.1
1/1/2026,Product_A,18,83.21,1497.78
2/3/2026,Product_A,17,102.09,1735.53
23/3/2026,Product_B,14,122.49,1714.86
9/1/2026,Product_A,17,147.13,2501.21
30/3/2026,Product_B,1,32.55,32.55
14/1/2026,Product_C,7,36.51,255.57
17/2/2026,Product_A,8,90.05,720.4
14/3/2026,Product_C,6,152.6,915.6
31/1/2026,Product_D,16,103.43,1654.88
13/3/2026,Product_C,14,171.95,2407.3
4/1/2026,Product_A,17,14.57,247.69
12/3/2026,Product_D,2,27.17,54.34
22/1/2026,Product_D,19,36.78,698.82
19/2/2026,Product_C,5,193.7,968.5
27/2/2026,Product_B,1,116.58,116.58
4/1/2026,Product_D,9,76.76,690.84
10/3/2026,Product_B,13,158.35,2058.55
25/1/2026,Product_D,9,103.24,929.16
13/2/2026,Product_D,4,148.22,592.88
18/3/2026,Product_D,15,109.39,1640.85
27/1/2026,Product_C,4,150.96,603.84
22/2/2026,Product_C,19,107.68,2045.92
22/3/2026,Product_C,17,93.51,1589.67
11/2/2026,Product_D,4,72.49,289.96
24/3/2026,Product_B,2,26.5,53
16/1/2026,Product_B,1,191.86,191.86
6/3/2026,Product_C,11,51.6,567.6
10/3/2026,Product_C,19,60.99,1158.81
26/1/2026,Product_C,3,199.99,599.97
29/3/2026,Product_A,16,137.62,2201.92
8/1/2026,Product_C,7,177.49,1242.43
27/1/2026,Product_B,12,30.82,369.84
26/1/2026,Product_B,8,13.46,107.68
23/1/2026,Product_B,2,59.56,119.12
10/1/2026,Product_B,1,157.87,157.87
9/3/2026,Product_A,14,63.84,893.76
24/1/2026,Product_A,18,108.55,1953.9
28/1/2026,Product_A,19,182.62,3469.78
7/2/2026,Product_C,13,156.12,2029.56
27/2/2026,Product_D,8,179.6,1436.8
25/3/2026,Product_C,4,42.46,169.84
8/2/2026,Product_D,16,125.64,2010.24
9/1/2026,Product_D,6,74.03,444.18
2/2/2026,Product_A,4,71.45,285.8
4/2/2026,Product_B,9,10.21,91.89
11/1/2026,Product_C,9,22.6,203.4
24/1/2026,Product_A,12,80.17,962.04
16/1/2026,Product_C,12,144.33,1731.96
29/3/2026,Product_B,13,43.63,567.19
26/1/2026,Product_A,9,178.64,1607.76
13/3/2026,Product_C,5,171.74,858.7
16/3/2026,Product_A,18,105.11,1891.98
4/3/2026,Product_D,6,161.74,970.44
16/2/2026,Product_D,16,81.42,1302.72
2/2/2026,Product_A,7,141.98,993.86
30/3/2026,Product_D,1,184.43,184.43
24/1/2026,Product_D,10,53.93,539.3
25/2/2026,Product_A,9,68.07,612.63
7/3/2026,Product_B,3,110.81,332.43
19/3/2026,Product_C,19,156.4,2971.6
4/1/2026,Product_D,4,74.72,298.88
1/1/2026,Product_C,6,59.45,356.7
19/3/2026,Product_A,19,97.4,1850.6
7/1/2026,Product_A,15,198.75,2981.25
22/2/2026,Product_A,16,119.6,1913.6
27/3/2026,Product_C,4,123.13,492.52
12/3/2026,Product_A,3,89.47,268.41
3/1/2026,Product_B,18,65.81,1184.58
18/3/2026,Product_C,1,41.85,41.85
22/1/2026,Product_A,11,92.6,1018.6
17/3/2026,Product_A,13,43.54,566.02
8/1/2026,Product_A,11,176.93,1946.23
19/3/2026,Product_C,3,190.18,570.54
14/3/2026,Product_B,15,81.58,1223.7
17/3/2026,Product_B,12,42.6,511.2
18/3/2026,Product_B,13,114.9,1493.7
13/2/2026,Product_A,4,150.68,602.72
21/1/2026,Product_A,11,63.48,698.28
31/1/2026,Product_A,10,120.38,1203.8
6/2/2026,Product_A,5,14.99,74.95
8/1/2026,Product_B,13,79.17,1029.21
15/2/2026,Product_D,8,97.91,783.28
10/3/2026,Product_C,10,125.64,1256.4
27/2/2026,Product_D,8,20.8,166.4
24/3/2026,Product_B,17,67.51,1147.67
14/1/2026,Product_B,11,166.75,1834.25
11/1/2026,Product_C,4,167.65,670.6
24/1/2026,Product_C,3,40.31,120.93
23/3/2026,Product_C,14,189.58,2654.12
8/1/2026,Product_D,7,147.27,1030.89
25/1/2026,Product_C,12,115.64,1387.68
16/3/2026,Product_B,6,165.43,992.58
21/1/2026,Product_A,19,17.93,340.67
2/2/2026,Product_C,8,73.68,589.44
13/1/2026,Product_B,10,153.19,1531.9
7/3/2026,Product_C,15,185.1,2776.5
2/3/2026,Product_B,16,109.02,1744.32
25/1/2026,Product_B,8,11.29,90.32
24/3/2026,Product_A,2,147.14,294.28
3/1/2026,Product_B,2,185.36,370.72
11/1/2026,Product_D,7,169.47,1186.29
24/2/2026,Product_B,8,62.35,498.8
24/3/2026,Product_C,16,12.01,192.16
28/3/2026,Product_C,18,90.82,1634.76
12/3/2026,Product_D,2,138.62,277.24
8/3/2026,Product_A,16,98.17,1570.72
13/3/2026,Product_D,8,168.81,1350.48
18/2/2026,Product_A,3,196.02,588.06
24/2/2026,Product_A,6,174.95,1049.7
16/1/2026,Product_B,4,72.35,289.4
6/1/2026,Product_A,7,107.06,749.42
18/1/2026,Product_B,18,79.22,1425.96
12/2/2026,Product_C,18,85.13,1532.34
21/1/2026,Product_D,13,157.64,2049.32
18/2/2026,Product_D,12,113.68,1364.16
23/1/2026,Product_C,14,69.75,976.5
14/1/2026,Product_A,2,181.8,363.6
23/2/2026,Product_A,1,86.91,86.91
26/3/2026,Product_B,8,163.68,1309.44
11/1/2026,Product_A,14,120.4,1685.6
25/2/2026,Product_D,4,199.15,796.6
3/3/2026,Product_C,14,93.98,1315.72
26/2/2026,Product_B,9,105.8,952.2
31/3/2026,Product_A,10,43.22,432.2
22/1/2026,Product_A,11,109.39,1203.29
25/3/2026,Product_D,15,124.37,1865.55
26/1/2026,Product_B,12,139.54,1674.48
15/1/2026,Product_B,9,90.67,816.03
14/1/2026,Product_B,11,63.65,700.15
26/3/2026,Product_D,6,36.23,217.38
13/2/2026,Product_A,2,190.4,380.8
7/1/2026,Product_D,14,71.18,996.52
19/3/2026,Product_C,8,14.53,116.24
26/2/2026,Product_A,11,35.11,386.21
1/3/2026,Product_B,4,36.85,147.4
16/1/2026,Product_B,14,57.97,811.58
25/1/2026,Product_C,14,96.42,1349.88
10/1/2026,Product_C,10,191.45,1914.5
8/3/2026,Product_B,5,104.57,522.85
13/3/2026,Product_C,13,23.51,305.63
23/2/2026,Product_D,9,55.57,500.13
11/3/2026,Product_C,18,97.26,1750.68
6/2/2026,Product_A,1,161.24,161.24
22/1/2026,Product_B,8,63.64,509.12
10/2/2026,Product_D,18,86.52,1557.36
19/3/2026,Product_D,18,38.67,696.06
19/2/2026,Product_D,1,61.41,61.41
17/2/2026,Product_A,15,146.74,2201.1
19/3/2026,Product_B,7,34.87,244.09
10/2/2026,Product_B,1,103.47,103.47
20/3/2026,Product_C,8,171.34,1370.72
15/2/2026,Product_D,1,152.42,152.42
29/3/2026,Product_B,6,165.89,995.34
17/1/2026,Product_A,3,92.18,276.54
29/1/2026,Product_C,9,197.2,1774.8
15/2/2026,Product_C,11,81.68,898.48
9/3/2026,Product_A,19,174.05,3306.95
8/3/2026,Product_D,1,88.75,88.75
20/3/2026,Product_A,14,182.47,2554.58
16/2/2026,Product_A,19,177.41,3370.79
1/1/2026,Product_A,8,60.74,485.92
30/1/2026,Product_B,7,160.2,1121.4
5/3/2026,Product_B,1,195.52,195.52
17/3/2026,Product_D,18,178.78,3218.04
5/2/2026,Product_A,1,67.7,67.7
23/2/2026,Product_A,11,169.86,1868.46
3/2/2026,Product_C,9,64.02,576.18
3/1/2026,Product_B,6,102.07,612.42
26/3/2026,Product_B,8,23.59,188.72
25/3/2026,Product_B,9,34.94,314.46
18/2/2026,Product_D,9,172.27,1550.43
24/2/2026,Product_A,5,150.54,752.7
2/2/2026,Product_D,4,90.81,363.24
29/1/2026,Product_A,4,165.1,660.4
25/2/2026,Product_D,17,94.86,1612.62
24/3/2026,Product_D,16,108.23,1731.68
1/2/2026,Product_D,1,15.59,15.59
29/1/2026,Product_C,16,150.08,2401.28
16/3/2026,Product_C,8,161.21,1289.68
9/1/2026,Product_C,10,167.11,1671.1
2/2/2026,Product_B,12,59.15,709.8
9/1/2026,Product_C,15,177.81,2667.15
26/3/2026,Product_C,18,104.08,1873.44
19/3/2026,Product_B,9,137.28,1235.52
20/2/2026,Product_B,13,148.36,1928.68
21/3/2026,Product_D,13,41.04,533.52
11/2/2026,Product_B,1,14.24,14.24
6/3/2026,Product_B,1,132.35,132.35
25/3/2026,Product_D,17,57.61,979.37
25/1/2026,Product_C,18,142.94,2572.92
21/1/2026,Product_D,6,184.67,1108.02
14/2/2026,Product_D,9,158.3,1424.7
16/1/2026,Product_D,16,85.65,1370.4
31/1/2026,Product_D,18,53.81,968.58
15/1/2026,Product_D,8,101.6,812.8
20/1/2026,Product_A,12,48.59,583.08
27/1/2026,Product_B,7,13.35,93.45
28/3/2026,Product_B,10,61.59,615.9
8/1/2026,Product_D,17,197.46,3356.82
23/2/2026,Product_D,13,52.28,679.64
17/2/2026,Product_B,17,160.19,2723.23
2/3/2026,Product_A,13,180.53,2346.89
4/2/2026,Product_C,17,32.86,558.62
2/2/2026,Product_C,18,107.7,1938.6
20/1/2026,Product_A,7,70.97,496.79
9/3/2026,Product_D,17,21.65,368.05
25/1/2026,Product_B,7,137.78,964.46
25/3/2026,Product_C,13,168.28,2187.64
8/2/2026,Product_B,12,129.04,1548.48
17/2/2026,Product_D,3,19.94,59.82
6/1/2026,Product_B,4,16.09,64.36
21/3/2026,Product_B,13,81.45,1058.85
5/3/2026,Product_C,15,57.22,858.3
29/3/2026,Product_C,3,117.04,351.12
2/2/2026,Product_B,1,164.31,164.31
12/2/2026,Product_A,8,74.41,595.28
16/3/2026,Product_C,7,90.7,634.9
8/3/2026,Product_C,19,96.19,1827.61
30/3/2026,Product_D,6,69.67,418.02
31/1/2026,Product_D,18,47.46,854.28
18/1/2026,Product_C,5,120.6,603
10/3/2026,Product_A,17,190.32,3235.44
6/3/2026,Product_D,4,20.28,81.12
2/3/2026,Product_D,5,12.53,62.65
20/3/2026,Product_D,17,149.6,2543.2
18/1/2026,Product_C,4,64.63,258.52
9/2/2026,Product_A,17,83.64,1421.88
5/2/2026,Product_B,17,184.55,3137.35
23/3/2026,Product_A,2,103.01,206.02
29/1/2026,Product_A,5,85.01,425.05
23/1/2026,Product_D,7,84.69,592.83
8/2/2026,Product_A,8,41.56,332.48
11/2/2026,Product_C,6,84.11,504.66
16/3/2026,Product_C,6,32.21,193.26
19/3/2026,Product_C,7,106.44,745.08
12/3/2026,Product_A,13,112.5,1462.5
26/1/2026,Product_B,5,112.76,563.8
18/2/2026,Product_A,1,170.35,170.35
20/2/2026,Product_B,15,127.98,1919.7
4/3/2026,Product_C,9,174.46,1570.14
14/2/2026,Product_B,18,42.62,767.16
24/2/2026,Product_C,15,70.83,1062.45
1/1/2026,Product_C,4,47.89,191.56
28/3/2026,Product_B,4,118.58,474.32
17/1/2026,Product_B,17,169.87,2887.79
20/1/2026,Product_A,1,33.95,33.95
10/1/2026,Product_C,1,133.84,133.84
21/2/2026,Product_B,7,122.46,857.22
11/1/2026,Product_C,12,198.84,2386.08
10/3/2026,Product_A,12,10.2,122.4
24/1/2026,Product_B,11,182.82,2011.02
15/1/2026,Product_D,4,92.93,371.72
5/3/2026,Product_C,5,194.06,970.3
22/1/2026,Product_C,10,57.47,574.7
16/2/2026,Product_C,7,199.94,1399.58
4/1/2026,Product_B,8,38.07,304.56
26/2/2026,Product_A,8,162.03,1296.24
30/3/2026,Product_D,4,38.17,152.68
22/3/2026,Product_C,4,165.25,661
16/2/2026,Product_D,18,99.44,1789.92
24/2/2026,Product_A,19,173.17,3290.23
21/3/2026,Product_C,3,134.96,404.88
13/3/2026,Product_B,16,102.57,1641.12
15/1/2026,Product_D,1,138,138
19/3/2026,Product_C,2,39.56,79.12
16/1/2026,Product_A,8,154.91,1239.28
26/1/2026,Product_C,13,22.22,288.86
23/2/2026,Product_B,3,42.22,126.66
26/3/2026,Product_C,9,162.57,1463.13
28/2/2026,Product_D,7,34.23,239.61
27/3/2026,Product_A,14,128.66,1801.24
30/1/2026,Product_B,12,164.6,1975.2
14/2/2026,Product_C,3,198.2,594.6
7/2/2026,Product_B,15,73.78,1106.7
23/1/2026,Product_B,11,105.65,1162.15
24/2/2026,Product_C,19,109.9,2088.1
18/3/2026,Product_C,6,120.68,724.08
13/1/2026,Product_C,14,45.36,635.04
1/3/2026,Product_C,14,169.41,2371.74
27/1/2026,Product_B,16,183,2928
18/3/2026,Product_D,15,72.16,1082.4
13/3/2026,Product_B,7,95.83,670.81
29/3/2026,Product_D,12,42.53,510.36
9/2/2026,Product_A,17,100.74,1712.58
13/2/2026,Product_D,16,147.5,2360
18/3/2026,Product_D,10,20.18,201.8
8/2/2026,Product_A,18,119.87,2157.66
11/3/2026,Product_C,1,17.08,17.08
3/2/2026,Product_D,14,69.06,966.84
13/2/2026,Product_C,16,14.23,227.68
27/1/2026,Product_A,8,52.74,421.92
26/2/2026,Product_D,3,168.26,504.78
11/3/2026,Product_B,4,160.2,640.8
15/3/2026,Product_D,1,59.91,59.91
22/2/2026,Product_B,17,74.7,1269.9
31/3/2026,Product_C,1,131.58,131.58
28/1/2026,Product_A,10,128.15,1281.5
13/2/2026,Product_C,5,44.39,221.95
2/1/2026,Product_D,7,19.4,135.8
24/3/2026,Product_A,7,91.21,638.47
27/1/2026,Product_A,18,82.86,1491.48
26/3/2026,Product_A,14,55.71,779.94
31/1/2026,Product_D,11,149.9,1648.9
6/3/2026,Product_D,10,169.53,1695.3
23/1/2026,Product_A,7,115.28,806.96
22/2/2026,Product_D,18,28.66,515.88
4/1/2026,Product_B,6,17.04,102.24
12/3/2026,Product_D,16,19.03,304.48
13/1/2026,Product_C,6,36.84,221.04
9/2/2026,Product_A,13,79.13,1028.69
25/3/2026,Product_A,2,152.27,304.54
18/2/2026,Product_A,11,91.19,1003.09
3/3/2026,Product_C,16,186.56,2984.96
12/3/2026,Product_D,6,101.64,609.84
14/1/2026,Product_D,16,104.12,1665.92
6/2/2026,Product_D,17,141.67,2408.39
24/1/2026,Product_A,11,127.61,1403.71
23/1/2026,Product_C,9,138.54,1246.86
8/3/2026,Product_A,6,113.5,681
23/2/2026,Product_D,9,168.05,1512.45
10/1/2026,Product_C,18,20.63,371.34
11/2/2026,Product_A,4,198.24,792.96
27/2/2026,Product_C,2,136.12,272.24
30/3/2026,Product_D,10,81.81,818.1
18/3/2026,Product_C,12,50,600
24/3/2026,Product_B,9,173.53,1561.77
12/1/2026,Product_A,1,145.54,145.54
6/2/2026,Product_D,18,151.79,2732.22
17/1/2026,Product_A,15,136.76,2051.4
31/1/2026,Product_A,8,129.85,1038.8
26/3/2026,Product_A,19,120.5,2289.5
27/2/2026,Product_C,19,163.12,3099.28
5/2/2026,Product_D,11,54.7,601.7
11/2/2026,Product_A,1,197.24,197.24
23/3/2026,Product_A,11,25.47,280.17
3/1/2026,Product_D,3,150.03,450.09
27/3/2026,Product_B,11,48.83,537.13
6/2/2026,Product_B,3,146.39,439.17
16/2/2026,Product_A,12,103.77,1245.24
22/3/2026,Product_A,5,30.92,154.6
28/1/2026,Product_B,7,15.58,109.06
14/3/2026,Product_C,7,97.9,685.3
29/1/2026,Product_A,3,11.73,35.19
3/1/2026,Product_A,13,118.52,1540.76
14/1/2026,Product_B,5,122.7,613.5
11/2/2026,Product_C,1,28.3,28.3
6/2/2026,Product_D,3,159.5,478.5
10/2/2026,Product_A,13,176.57,2295.41
19/1/2026,Product_A,9,161.97,1457.73
8/2/2026,Product_D,16,96.61,1545.76
5/3/2026,Product_D,12,132.47,1589.64
16/2/2026,Product_C,16,84.09,1345.44
31/3/2026,Product_C,16,186.48,2983.68
3/1/2026,Product_B,16,59.85,957.6
29/1/2026,Product_A,19,61.07,1160.33
20/3/2026,Product_D,6,19.05,114.3
17/3/2026,Product_B,7,87.46,612.22
28/2/2026,Product_C,11,172.07,1892.77
12/2/2026,Product_D,16,59.43,950.88
27/1/2026,Product_B,6,64.04,384.24
22/1/2026,Product_A,12,43.37,520.44
28/2/2026,Product_C,12,114.42,1373.04
17/1/2026,Product_B,4,65.46,261.84
7/2/2026,Product_C,10,68.16,681.6
12/1/2026,Product_A,13,123.54,1606.02
23/1/2026,Product_B,4,18.06,72.24
7/1/2026,Product_D,17,26.82,455.94
15/1/2026,Product_B,10,186.72,1867.2
29/3/2026,Product_C,18,106.02,1908.36
17/3/2026,Product_A,8,189.22,1513.76
5/2/2026,Product_D,17,29.45,500.65
5/3/2026,Product_B,16,22.26,356.16
2/2/2026,Product_D,8,21.95,175.6
19/2/2026,Product_C,4,36.01,144.04
1/1/2026,Product_B,4,26.23,104.92
23/1/2026,Product_B,19,124.22,2360.18
12/3/2026,Product_B,16,192.41,3078.56
6/2/2026,Product_A,16,184.36,2949.76
19/1/2026,Product_B,13,64.78,842.14
28/1/2026,Product_C,12,189.03,2268.36
29/1/2026,Product_B,8,132.42,1059.36
22/2/2026,Product_A,17,55.03,935.51
20/2/2026,Product_D,19,112.73,2141.87
16/2/2026,Product_C,19,82.47,1566.93
8/1/2026,Product_A,19,166.33,3160.27
27/3/2026,Product_B,3,136.26,408.78
17/1/2026,Product_A,11,152.76,1680.36
30/1/2026,Product_C,19,25.88,491.72
12/1/2026,Product_D,9,100.74,906.66
3/3/2026,Product_B,16,21.2,339.2
15/1/2026,Product_A,2,54.73,109.46
31/1/2026,Product_C,12,131.82,1581.84
9/1/2026,Product_C,10,61.15,611.5
10/2/2026,Product_D,10,38.25,382.5
18/2/2026,Product_D,16,127.26,2036.16
31/1/2026,Product_C,13,28.56,371.28
24/1/2026,Product_B,5,123.14,615.7
8/3/2026,Product_C,16,55.69,891.04
6/3/2026,Product_D,19,41.48,788.12
13/1/2026,Product_C,18,171.02,3078.36
18/1/2026,Product_B,2,26.76,53.52
3/2/2026,Product_B,16,182.48,2919.68
11/1/2026,Product_A,6,139.37,836.22
29/1/2026,Product_B,6,98.2,589.2
17/3/2026,Product_A,1,177.98,177.98
6/1/2026,Product_C,3,131.61,394.83
23/3/2026,Product_A,16,142.14,2274.24
6/1/2026,Product_D,11,68.4,752.4
12/2/2026,Product_D,13,40.79,530.27
28/3/2026,Product_D,9,30.01,270.09
22/2/2026,Product_B,11,181.35,1994.85
27/2/2026,Product_B,13,141.31,1837.03
26/2/2026,Product_C,17,81.35,1382.95
20/3/2026,Product_A,3,157.91,473.73
29/3/2026,Product_D,1,157.34,157.34
23/3/2026,Product_D,10,86.92,869.2
11/1/2026,Product_B,6,197.03,1182.18
14/3/2026,Product_B,18,175.35,3156.3
18/2/2026,Product_A,10,115.14,1151.4
20/1/2026,Product_B,8,62.63,501.04
13/1/2026,Product_D,15,42.45,636.75
26/1/2026,Product_D,3,43.18,129.54
19/3/2026,Product_C,16,133.08,2129.28
17/1/2026,Product_D,4,176.14,704.56
5/1/2026,Product_D,19,32.9,625.1
30/3/2026,Product_A,1,16.3,16.3
28/1/2026,Product_A,1,137.22,137.22
20/2/2026,Product_C,10,174.64,1746.4
10/3/2026,Product_D,11,189.66,2086.26
4/1/2026,Product_D,17,97.35,1654.95
28/2/2026,Product_A,12,35.92,431.04
13/1/2026,Product_C,6,194.56,1167.36
3/1/2026,Product_B,12,183.24,2198.88
18/3/2026,Product_C,7,118.03,826.21
3/3/2026,Product_B,17,61.88,1051.96
16/1/2026,Product_A,10,61.84,618.4
16/3/2026,Product_A,14,28.89,404.46
13/1/2026,Product_A,1,39.55,39.55
19/1/2026,Product_C,3,31.33,93.99
31/1/2026,Product_C,7,145.43,1018.01
1/3/2026,Product_A,5,144.42,722.1
6/1/2026,Product_C,16,164.68,2634.88
17/1/2026,Product_D,16,35.36,565.76
2/3/2026,Product_D,10,77.15,771.5
13/2/2026,Product_D,13,116.35,1512.55
1/2/2026,Product_D,5,181.69,908.45
14/2/2026,Product_D,3,96.64,289.92
25/1/2026,Product_A,12,162.58,1950.96
4/3/2026,Product_C,17,20.45,347.65
21/3/2026,Product_B,8,185.52,1484.16
22/1/2026,Product_B,16,163.02,2608.32
20/1/2026,Product_C,19,93.59,1778.21
19/3/2026,Product_C,17,122.55,2083.35
3/2/2026,Product_C,14,66.73,934.22
5/1/2026,Product_D,10,35.41,354.1
9/2/2026,Product_D,5,12.7,63.5
9/3/2026,Product_C,9,153.11,1377.99
4/2/2026,Product_A,15,102.02,1530.3
4/2/2026,Product_B,16,112.06,1792.96
12/2/2026,Product_A,9,112.12,1009.08
20/3/2026,Product_B,6,148.98,893.88
24/3/2026,Product_D,10,107.55,1075.5
8/2/2026,Product_D,8,16.16,129.28
18/2/2026,Product_D,18,92.92,1672.56
